Date,Province,Sex,Age group,Employment,Full-time employment,Labour force,Part-time employment ,Population,Unemployment,Employment rate,Participation rate,Unemployment rate
1976-01,Alberta,Both sexes,15 to 24 years,231800,174900,252300,56900,362300,20500,64,69.6,8.1
1976-01,Alberta,Both sexes,15 to 64 years,802400,682100,837500,120300,1154800,35000,69.5,72.5,4.2
1976-01,Alberta,Both sexes,15 years and over,819500,693700,856500,125800,1276700,37000,64.2,67.1,4.3
1976-01,Alberta,Both sexes,25 to 54 years,491400,439800,505800,51600,661700,14400,74.3,76.4,2.8
1976-01,Alberta,Both sexes,25 years and over,587700,518800,604200,68900,914400,16500,64.3,66.1,2.7
1976-01,Alberta,Both sexes,55 years and over,96300,79000,98400,17300,252800,2100,38.1,38.9,2.1
1976-01,British Columbia,Both sexes,15 to 24 years,257500,191000,300200,66500,467000,42700,55.1,64.3,14.2
1976-01,British Columbia,Both sexes,15 to 64 years,1015500,867400,1108500,148000,1628800,93000,62.3,68.1,8.4
1976-01,British Columbia,Both sexes,15 years and over,1029700,877100,1125400,152600,1852400,95800,55.6,60.8,8.5
1976-01,British Columbia,Both sexes,25 to 54 years,652300,585700,699700,66700,940300,47400,69.4,74.4,6.8
1976-01,British Columbia,Both sexes,25 years and over,772200,686100,825200,86100,1385300,53100,55.7,59.6,6.4
1976-01,British Columbia,Both sexes,55 years and over,119800,100400,125500,19400,445100,5600,26.9,28.2,4.5
1976-01,Canada,Both sexes,15 to 19 years,999200,,1178900,,2330000,179700,42.9,50.6,15.2
1976-01,Canada,Both sexes,15 to 24 years,2499600,1963800,2849400,535900,4509900,349800,55.4,63.2,12.3
1976-01,Canada,Both sexes,15 to 64 years,9465600,8315800,10185000,1149800,15015900,719400,63,67.8,7.1
1976-01,Canada,Both sexes,15 years and over,9636700,8431000,10369700,1205600,16852400,733000,57.2,61.5,7.1
1976-01,Canada,Both sexes,20 to 24 years,1500400,,1670500,,2179800,170100,68.8,76.6,10.2
1976-01,Canada,Both sexes,25 to 54 years,5999300,5486700,6332800,512600,8619100,333500,69.6,73.5,5.3
1976-01,Canada,Both sexes,25 years and over,7137000,6467300,7520300,669800,12342500,383200,57.8,60.9,5.1
1976-01,Canada,Both sexes,55 to 64 years,955600,,999700,,1886900,44100,50.6,53,4.4
1976-01,Canada,Both sexes,55 years and over,1137700,980600,1187500,157200,3723400,49800,30.6,31.9,4.2
1976-01,Manitoba,Both sexes,15 to 24 years,116300,93100,130400,23200,190900,14100,60.9,68.3,10.8
1976-01,Manitoba,Both sexes,15 to 64 years,418600,363600,442500,55100,635700,23900,65.8,69.6,5.4
